"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Sonic"
"TIMESTAMP","RECORD","u","v","w","Ts"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2025-03-27 20:06:44.55",169,0.004333496,0.004245758,0.009883881,22.34617
"2025-03-27 20:06:44.6",170,0.006639481,0.006965637,0.01178551,22.36839
"2025-03-27 20:06:44.65",171,0.006650925,0.007534027,0.01352882,22.34426
"2025-03-27 20:06:44.7",172,0.007282257,0.007038116,0.01059151,22.34531
"2025-03-27 20:06:44.75",173,0.008356094,0.006958008,0.007312775,22.36943
"2025-03-27 20:06:44.8",174,0.007606506,0.007049561,0.01026726,22.32286
"2025-03-27 20:06:44.85",175,0.005567551,0.006278992,0.01009369,22.37011
"2025-03-27 20:06:44.9",176,0.006574631,0.006155014,0.0135746,22.34413
"2025-03-27 20:06:44.95",177,0.008979797,0.006246567,0.0125618,22.32375
"2025-03-27 20:06:45",178,0.007322311,0.006540298,0.01432228,22.34735
"2025-03-27 20:06:45.05",179,0.005729675,0.006378174,0.01429558,22.34598
"2025-03-27 20:06:45.1",180,0.006071091,0.005952835,0.01099396,22.34768
"2025-03-27 20:06:45.15",181,0.007120132,0.006048203,0.004716873,22.32724
"2025-03-27 20:06:45.2",182,0.008266449,0.006433487,0.006477356,22.37095
"2025-03-27 20:06:45.25",183,0.004617691,0.005586624,0.01245308,22.34535
"2025-03-27 20:06:45.3",184,0.007925034,0.005245209,0.01256752,22.36953
"2025-03-27 20:06:45.35",185,0.008443832,0.00630188,0.007135391,22.32699
"2025-03-27 20:06:45.4",186,0.006734848,0.005908966,0.00727272,22.37073
"2025-03-27 20:06:45.45",187,0.005641937,0.006944656,0.005168915,22.34847
"2025-03-27 20:06:45.5",188,0.008544922,0.007785797,0.008029938,22.3485
"2025-03-27 20:06:45.55",189,0.006383896,0.008255005,0.006778717,22.31866
"2025-03-27 20:06:45.6",190,0.004749298,0.01097679,0.01241875,22.34771
