"TOA5","6550","CR6","6550","CR6.Std.13.01","CPU:LabFisAtm2025_v1.CR6","55291","Slow"
"TIMESTAMP","RECORD","AirTC1","RH1","AirTC2","RH2","BP_mbar"
"TS","RN","Deg C","%","Deg C","%","hPa"
"","","Smp","Smp","Smp","Smp","Smp"
"2025-03-27 20:09:11",154,21.78354,42.56158,21.72581,42.61412,1011.372
"2025-03-27 20:09:12",155,21.84705,42.63366,21.72218,42.59032,1011.359
"2025-03-27 20:09:13",156,21.81229,42.61768,21.72402,42.58667,1011.41
"2025-03-27 20:09:14",157,21.84053,42.62533,21.72942,42.6447,1011.36
"2025-03-27 20:09:15",158,21.77544,42.61517,21.72926,42.64998,1011.352
"2025-03-27 20:09:16",159,21.86327,42.54682,21.7592,42.57885,1011.41
"2025-03-27 20:09:17",160,21.80777,42.58445,21.73583,42.65432,1011.367
"2025-03-27 20:09:18",161,21.8222,42.565,21.68869,42.65352,1011.372
"2025-03-27 20:09:19",162,21.85495,42.54815,21.68276,42.60489,1011.361
"2025-03-27 20:09:20",163,21.85307,42.53481,21.70926,42.57402,1011.364
"2025-03-27 20:09:21",164,21.89502,42.4854,21.71859,42.55761,1011.357
"2025-03-27 20:09:22",165,21.86014,42.69418,21.7443,42.62392,1011.345
"2025-03-27 20:09:23",166,21.81427,42.64276,21.75445,42.66574,1011.393
"2025-03-27 20:09:24",167,21.87755,42.58231,21.73033,42.62775,1011.351
"2025-03-27 20:09:25",168,21.86113,42.58927,21.7019,42.62902,1011.361
"2025-03-27 20:09:26",169,21.80955,42.59576,21.71038,42.64874,1011.357
"2025-03-27 20:09:27",170,21.79496,42.53439,21.72395,42.66483,1011.349
"2025-03-27 20:09:28",171,21.75344,42.60274,21.69124,42.63456,1011.384
"2025-03-27 20:09:29",172,21.72307,42.55225,21.71596,42.62893,1011.352
"2025-03-27 20:09:30",173,21.82549,42.60748,21.73334,42.63152,1011.347
"2025-03-27 20:09:31",174,21.82706,42.64107,21.73957,42.65515,1011.344
