Mean [C],Std. Dev. [C],Maximum [C],Minimum [C]
25.81,0.43,26.86,24.55
25.84,0.43,26.88,24.37
25.88,0.47,27.09,24.47
25.89,0.46,27.01,24.53
25.88,0.42,26.85,24.61
25.86,0.41,27.0,24.53
25.85,0.39,26.86,24.5
25.81,0.36,26.7,24.52
25.78,0.35,26.64,24.57
25.79,0.36,26.65,24.4
25.77,0.36,26.66,24.5
25.81,0.43,27.0,24.37
25.83,0.43,27.09,24.41
25.83,0.42,27.0,24.5
25.79,0.42,26.88,24.39
25.77,0.44,27.06,24.47
25.83,0.49,27.33,24.31
25.85,0.48,27.18,24.43
25.86,0.5,27.28,24.41
25.88,0.51,27.28,24.49
25.94,0.54,27.25,24.49
25.95,0.55,27.44,24.44
25.97,0.55,27.43,24.61
26.0,0.53,27.3,24.56
26.0,0.55,27.55,24.45
25.95,0.55,27.62,24.52
25.95,0.55,27.57,24.47
25.99,0.54,27.37,24.47
26.02,0.54,27.45,24.44
26.01,0.54,27.39,24.5
26.06,0.55,27.49,24.32
26.06,0.57,27.71,24.44
26.07,0.62,27.98,24.4
26.07,0.62,27.95,24.5
26.07,0.64,27.92,24.44
26.1,0.66,28.14,24.23
26.11,0.68,28.28,24.42
26.13,0.64,28.11,24.41
26.06,0.61,27.92,24.54
26.05,0.62,28.06,24.45
25.98,0.6,27.75,24.48
25.98,0.59,27.73,24.32
25.98,0.54,27.47,24.42
25.98,0.54,27.52,24.39
26.0,0.56,27.67,24.49
26.04,0.62,27.85,24.48
26.08,0.65,27.97,24.52
26.07,0.62,27.87,24.44
26.07,0.64,28.06,24.44
26.08,0.68,28.37,24.51
26.07,0.68,28.28,24.42
26.05,0.65,27.98,24.49
26.02,0.69,28.14,24.44
26.02,0.68,27.93,24.46
26.02,0.68,27.9,24.5
26.05,0.68,28.02,24.44
26.02,0.62,27.69,24.47
26.0,0.59,27.44,24.44
26.01,0.6,27.34,24.51
25.97,0.56,27.16,24.56
25.92,0.51,27.0,24.5
25.78,0.44,26.68,24.5
25.74,0.42,26.61,24.48
25.76,0.46,26.93,24.47
25.72,0.46,26.98,24.41
25.7,0.43,26.82,24.37
25.67,0.45,26.86,24.43
25.65,0.44,26.75,24.38
25.65,0.43,26.92,24.41
25.66,0.43,26.82,24.44
25.68,0.44,26.7,24.46
25.65,0.43,26.67,24.41
25.68,0.43,26.75,24.45
25.69,0.45,26.78,24.44
25.73,0.48,27.16,24.47
25.74,0.49,27.05,24.47
25.78,0.52,27.03,24.54
25.75,0.51,26.91,24.48
25.74,0.5,26.85,24.35
25.81,0.5,27.11,24.54
25.8,0.47,26.95,24.49
25.77,0.46,26.82,24.47
25.77,0.45,26.78,24.55
25.8,0.49,27.0,24.56
25.79,0.48,26.93,24.54
25.8,0.48,26.9,24.52
25.77,0.51,27.28,24.38
25.7,0.49,27.32,24.12
25.7,0.5,27.33,24.4
25.7,0.5,27.1,24.23
25.67,0.46,26.84,24.42
25.67,0.46,26.81,24.35
25.69,0.48,26.89,24.42
25.67,0.45,26.73,24.38
25.62,0.45,26.81,24.36
25.62,0.44,26.75,24.16
25.65,0.44,26.76,24.34
25.74,0.47,27.14,24.5
25.75,0.46,27.31,24.36
25.77,0.49,27.4,24.49
25.79,0.54,27.68,24.42
25.85,0.6,28.14,24.44
25.88,0.65,28.32,24.55
25.91,0.65,28.19,24.51
25.87,0.63,27.95,24.38
25.9,0.66,27.92,24.5
25.92,0.7,28.07,24.24
25.93,0.7,27.95,24.41
25.89,0.63,27.63,24.34
25.95,0.64,27.66,24.5
25.95,0.61,27.48,24.53
25.95,0.55,27.24,24.41
25.92,0.49,27.03,24.6
25.89,0.46,26.95,24.29
25.82,0.42,26.75,24.56
25.75,0.39,26.56,24.56
25.7,0.36,26.45,24.44
25.68,0.34,26.4,24.48
25.64,0.32,26.29,24.49
25.57,0.27,26.11,24.58
25.29,0.19,25.94,24.57
25.16,0.2,25.88,24.47
25.09,0.23,25.81,24.5
